id;name;description
1;Skåre - Yttre;the outer pasture in skare
2;Skåre - Inre;the inner pasture in skare
3;Skåre - Melkers Väg;The pasture by melkers road in skare
4;Järpetan - framför huset;Jarpetan in front of the house
5;Järpetan - Hästhagen;the hourse pasture
6;Järpetan - lilla hagen;The small pasture by the house
7;Järpetan - lagduårds gärdet;The pasture to the right of the house
8;Järpetan - Wallin gärdet;The pasture in front of wallins
9;Järpetan - Djupdalen;the pasture by the djupdalen road
10;Bon - tjurgärdet;the bull pasture
11;Bon - vid älven;by the river
12;Bon - det stora gärdet;the big pasture
13;Bon - Bredmyren;Bredmyren
14;Bon - Bråtarna;bratarna
