id;image;image_content_type;caption;height;width;taken;visibility;cattle_id
1;../fake-data/blob/kalvar.jpg;image/jpeg;ADP Mountain Metal;192;192;2019-12-28T22:39:23;ROLE_ANONYMOUS;1
2;../fake-data/blob/hipster.png;image/png;Direct Security Ergonomic;192;192;2019-12-29T18:23:31;ROLE_ANONYMOUS;2
3;../fake-data/blob/hipster.png;image/png;Macao Security;192;192;2019-12-29T06:00:21;ROLE_ANONYMOUS;3
4;../fake-data/blob/hipster.png;image/png;Auto Loan Account Tasty;192;192;2019-12-28T22:17:51;ROLE_ANONYMOUS;4
5;../fake-data/blob/hipster.png;image/png;Gorgeous Hat Brand;192;192;2019-12-29T04:29:44;ROLE_ANONYMOUS;5
6;../fake-data/blob/gone_fishing.jpg;image/jpeg;users olive;3024;4032;2019-12-29T03:36:05;ROLE_ANONYMOUS;6
7;../fake-data/blob/hipster.png;image/png;Harbor;192;192;2019-12-29T17:36:43;ROLE_ANONYMOUS;7
8;../fake-data/blob/hipster.png;image/png;bottom-line payment West Virginia;192;192;2019-12-29T13:35:31;ROLE_ANONYMOUS;8
9;../fake-data/blob/hipster.png;image/png;Electronics Fantastic Steel Fish;192;192;2019-12-29T12:54:57;ROLE_ANONYMOUS;9
10;../fake-data/blob/hipster.png;image/png;panel;192;192;2019-12-29T12:35:50;ROLE_ANONYMOUS;10
11;../fake-data/blob/kalvar.jpg;image/png;hohoho;2714;2025;2019-12-29T12:35:50;ROLE_ANONYMOUS;5
